G23,G16,G26,G21,G31,G27,G08,G18,G10,G07
3000,3000,3020.0,3041.0,,3040.0,3021.0,3041.0,3020.0,
3001,3001,3021.0,3060.0,,3041.0,3040.0,3060.0,3021.0,
3020,3020,3040.0,3061.0,,3060.0,3041.0,3061.0,3040.0,
3021,3021,3041.0,3080.0,,3061.0,3060.0,3080.0,3041.0,
3040,3040,3060.0,3081.0,,3080.0,3061.0,3081.0,3060.0,
3041,3041,3061.0,3100.0,,3081.0,3080.0,3082.0,3061.0,
3060,3060,3080.0,3101.0,,3100.0,3081.0,3100.0,3080.0,
3061,3061,3081.0,3120.0,,3101.0,3100.0,3101.0,3081.0,
3080,3080,3100.0,3121.0,,3120.0,3101.0,3119.0,3100.0,
3081,3081,3101.0,3140.0,,3121.0,3120.0,3120.0,3101.0,
3100,3100,3120.0,3141.0,,3140.0,3121.0,3121.0,3120.0,
3101,3101,3121.0,3160.0,,3141.0,3140.0,3140.0,3121.0,
3120,3120,3140.0,3161.0,,3160.0,3141.0,3141.0,3140.0,
3121,3121,3141.0,3180.0,,3161.0,3160.0,3160.0,3141.0,
3140,3140,3160.0,3181.0,,3180.0,3161.0,3161.0,3160.0,
3141,3141,3161.0,3200.0,,3181.0,3180.0,3180.0,3161.0,
3160,3160,3180.0,3201.0,,3200.0,3181.0,3181.0,3180.0,
3161,3161,3181.0,3220.0,,3201.0,3200.0,3200.0,3181.0,
3180,3180,3200.0,3221.0,,3220.0,3201.0,3201.0,3200.0,
3181,3181,3201.0,3240.0,,3221.0,3220.0,3220.0,3201.0,
3200,3200,3220.0,3241.0,,3240.0,3221.0,3221.0,3220.0,
3201,3201,3221.0,3260.0,,3241.0,3240.0,3240.0,3221.0,
3220,3220,3240.0,3261.0,,3260.0,3241.0,3241.0,3240.0,
3221,3221,3241.0,3280.0,,3261.0,3260.0,3260.0,3241.0,
3240,3240,3260.0,3281.0,,3280.0,3261.0,3261.0,3260.0,
3241,3241,3261.0,3300.0,,3281.0,3280.0,3280.0,3261.0,
3260,3260,3280.0,3301.0,,3300.0,3281.0,3300.0,3280.0,
3261,3261,3281.0,3320.0,,3301.0,3300.0,3301.0,3281.0,
3280,3280,3300.0,3321.0,,3320.0,3301.0,3309.0,3300.0,
3281,3281,3301.0,3340.0,,3321.0,3320.0,3321.0,3301.0,
3300,3300,3320.0,3341.0,,3340.0,3321.0,3340.0,3320.0,
3301,3301,3321.0,3360.0,,3341.0,3340.0,3360.0,3321.0,
3320,3320,3340.0,3361.0,,3360.0,3341.0,3361.0,3340.0,
3321,3321,3341.0,3380.0,,3361.0,3360.0,3380.0,3341.0,
3340,3340,3360.0,3381.0,,3380.0,3361.0,3400.0,3360.0,
3341,3341,3361.0,3400.0,,3381.0,3380.0,3401.0,3361.0,
3360,3360,3380.0,3401.0,,3400.0,3381.0,3402.0,3380.0,
3361,3361,3381.0,3420.0,,3401.0,3400.0,3420.0,3381.0,
3380,3380,3400.0,3421.0,,3420.0,3401.0,3421.0,3400.0,
3381,3381,3401.0,3440.0,,3421.0,3420.0,3440.0,3401.0,
3400,3400,3420.0,3441.0,,3440.0,3421.0,3441.0,3420.0,
3401,3401,3421.0,3460.0,,3441.0,3440.0,3460.0,3421.0,
3420,3420,3440.0,3461.0,,3460.0,3441.0,3461.0,3440.0,
3421,3421,3441.0,3480.0,,3461.0,3460.0,3462.0,3441.0,
3440,3440,3460.0,3481.0,,3480.0,3461.0,3480.0,3460.0,
3441,3441,3461.0,3500.0,,3481.0,3480.0,3481.0,3461.0,
3460,3460,3480.0,3501.0,,3500.0,3481.0,3482.0,3480.0,
3461,3461,3481.0,3520.0,,3501.0,3500.0,3500.0,3481.0,
3480,3480,3500.0,3521.0,,3520.0,3501.0,3512.0,3500.0,
3481,3481,3501.0,3540.0,,3521.0,3520.0,3513.0,3501.0,
3500,3500,3520.0,3541.0,,3540.0,3521.0,3520.0,3520.0,
3501,3501,3521.0,3560.0,,3541.0,3540.0,3540.0,3521.0,
3520,3520,3540.0,3561.0,,3560.0,3541.0,3541.0,3540.0,
3521,3521,3541.0,3580.0,,3561.0,3560.0,3561.0,3541.0,
3540,3540,3560.0,,,3580.0,3561.0,3562.0,3560.0,
3541,3541,3561.0,,,,3580.0,3580.0,3561.0,
3560,3560,3580.0,,,,,,3580.0,
3561,3561,,,,,,,,
3580,3580,,,,,,,,
