G27,G25,G09,G12,G26,G01,G02,G16,G03,G17,G06,G19,G15,G08,G07,G14,G24,G13,G32,G29,G05,G20,G21,G30,G18,G31,G04,G10,G23,G11
73980.0,53070.0,17430.0,48180.0,66210.0,,62580.0,70290.0,80970.0,35280.0,18780.0,34800.0,37080.0,78450.0,22830.0,33480,42720.0,32370.0,72240.0,58320.0,32130.0,26790.0,76320.0,27120.0,59910.0,57030.0,83940.0,69540.0,61470.0,24090.0
74010.0,53100.0,17700.0,48450.0,66480.0,,62610.0,70560.0,81240.0,35310.0,19050.0,35070.0,37110.0,78480.0,23100.0,33510,42990.0,32640.0,72510.0,58590.0,32400.0,26820.0,76590.0,27390.0,59940.0,57300.0,84210.0,69810.0,61500.0,24360.0
74280.0,53370.0,17730.0,48480.0,66510.0,,62880.0,70590.0,81270.0,35580.0,19080.0,35100.0,37380.0,78750.0,23130.0,33780,43020.0,32670.0,72540.0,58620.0,32430.0,27090.0,76620.0,27420.0,60210.0,57330.0,84240.0,69840.0,61770.0,24390.0
74310.0,53400.0,18000.0,48750.0,66780.0,,62910.0,70860.0,81540.0,35610.0,19350.0,35370.0,37410.0,78780.0,23400.0,33810,43290.0,32940.0,72810.0,58890.0,32700.0,27120.0,76890.0,27690.0,60240.0,57600.0,84510.0,70110.0,61800.0,24660.0
74580.0,53670.0,18030.0,48780.0,66810.0,,63180.0,70890.0,81570.0,35880.0,19380.0,35400.0,37680.0,79050.0,23430.0,34080,43320.0,32970.0,72840.0,58920.0,32730.0,27390.0,76920.0,27720.0,60510.0,57630.0,84540.0,70140.0,62070.0,24690.0
74610.0,53700.0,18300.0,49050.0,67080.0,,63210.0,71160.0,81840.0,35910.0,19650.0,35670.0,37710.0,79080.0,23700.0,34110,43590.0,33240.0,73110.0,59190.0,33000.0,27420.0,77190.0,27990.0,60540.0,57900.0,84810.0,70410.0,62100.0,24960.0
74880.0,53970.0,18330.0,49080.0,67110.0,,63480.0,71190.0,81870.0,36180.0,19680.0,35700.0,37980.0,79350.0,23730.0,34380,43620.0,33270.0,73140.0,59220.0,33030.0,27690.0,77220.0,28020.0,60810.0,57930.0,84840.0,70440.0,62370.0,24990.0
74910.0,54000.0,18600.0,49350.0,67380.0,,63510.0,71460.0,82140.0,36210.0,19950.0,35970.0,38010.0,79380.0,24000.0,34410,43890.0,33540.0,73410.0,59490.0,33300.0,27720.0,77490.0,28290.0,60840.0,58200.0,85110.0,70710.0,62400.0,43500.0
75180.0,54270.0,18630.0,49380.0,67410.0,,63780.0,71490.0,82170.0,36480.0,20250.0,36000.0,38280.0,79650.0,24030.0,34680,43920.0,33570.0,73440.0,59520.0,33600.0,27990.0,77520.0,28320.0,61110.0,58230.0,85140.0,70740.0,62670.0,43770.0
75210.0,54300.0,18900.0,49650.0,67680.0,,64110.0,71760.0,82440.0,36510.0,20310.0,36270.0,38310.0,79680.0,24300.0,34710,44190.0,33840.0,73710.0,59790.0,33630.0,28020.0,77790.0,28590.0,61140.0,58500.0,85410.0,71010.0,62700.0,43800.0
75480.0,54570.0,18930.0,49680.0,67710.0,,,71790.0,82470.0,36780.0,20400.0,36300.0,38580.0,79950.0,24330.0,34980,44220.0,33870.0,73740.0,59820.0,33900.0,28290.0,77820.0,28620.0,61410.0,58530.0,85440.0,71040.0,62970.0,44070.0
75510.0,54600.0,19200.0,49950.0,67980.0,,,72060.0,82740.0,36810.0,20640.0,36570.0,38610.0,79980.0,24600.0,35010,44490.0,34140.0,74010.0,60090.0,33930.0,28320.0,78090.0,28890.0,61440.0,58800.0,85710.0,71310.0,63000.0,44100.0
75780.0,54870.0,19230.0,49980.0,68010.0,,,72090.0,82770.0,37080.0,20910.0,36600.0,38880.0,80250.0,24630.0,35280,44520.0,34170.0,74040.0,60120.0,34200.0,28590.0,78120.0,28920.0,61710.0,58830.0,85740.0,71340.0,63270.0,44370.0
75810.0,54900.0,19500.0,50250.0,68280.0,,,72360.0,83040.0,37110.0,20940.0,36870.0,38910.0,80280.0,24900.0,35310,44790.0,34440.0,74310.0,60390.0,34230.0,28620.0,78390.0,29190.0,61740.0,59100.0,86010.0,71610.0,63300.0,44400.0
76080.0,55170.0,19530.0,50280.0,68310.0,,,72390.0,83070.0,37380.0,21210.0,36900.0,39180.0,80550.0,24930.0,35580,44820.0,34470.0,74340.0,60420.0,34500.0,28890.0,78420.0,29220.0,62010.0,59130.0,86040.0,71640.0,63570.0,44670.0
76110.0,55200.0,19800.0,50550.0,68580.0,,,72660.0,83340.0,37410.0,21240.0,37170.0,39210.0,80580.0,25200.0,35610,45090.0,34740.0,74610.0,60690.0,34530.0,28920.0,78690.0,29490.0,62040.0,59400.0,86310.0,71910.0,63600.0,44700.0
76380.0,55470.0,19830.0,50580.0,68610.0,,,72690.0,83370.0,37680.0,42330.0,37200.0,39480.0,80850.0,25230.0,35880,45120.0,34770.0,74640.0,60720.0,34800.0,29190.0,78720.0,29520.0,62310.0,59430.0,,71940.0,63870.0,44970.0
